Movie_Title,Release Year,Review_URL
Coco,2017,https://www.imdb.com/title/tt2380307/reviews?ref_=tt_urv
Toy Story,1995,https://www.imdb.com/title/tt0114709/reviews?ref_=tt_urv
Joker,2019,https://www.imdb.com/title/tt7286456/reviews?ref_=tt_urv
Braveheart,1995,https://www.imdb.com/title/tt0112573/reviews?ref_=tt_urv
Das Boot,1981,https://www.imdb.com/title/tt0082096/reviews?ref_=tt_urv
Avengers: Endgame,2019,https://www.imdb.com/title/tt4154796/reviews?ref_=tt_urv
Princess Mononoke,1997,https://www.imdb.com/title/tt0119698/reviews?ref_=tt_urv
Once Upon a Time in America,1984,https://www.imdb.com/title/tt0087843/reviews?ref_=tt_urv
Good Will Hunting,1997,https://www.imdb.com/title/tt0119217/reviews?ref_=tt_urv
Your Name.,2016,https://www.imdb.com/title/tt5311514/reviews?ref_=tt_urv
Singin' in the Rain,1952,https://www.imdb.com/title/tt0045152/reviews?ref_=tt_urv
3 Idiots,2009,https://www.imdb.com/title/tt1187043/reviews?ref_=tt_urv
Requiem for a Dream,2000,https://www.imdb.com/title/tt0180093/reviews?ref_=tt_urv
High and Low,1963,https://www.imdb.com/title/tt0057565/reviews?ref_=tt_urv
Toy Story 3,2010,https://www.imdb.com/title/tt0435761/reviews?ref_=tt_urv
Capernaum,2018,https://www.imdb.com/title/tt8267604/reviews?ref_=tt_urv
Star Wars: Episode VI - Return of the Jedi,1983,https://www.imdb.com/title/tt0086190/reviews?ref_=tt_urv
Eternal Sunshine of the Spotless Mind,2004,https://www.imdb.com/title/tt0338013/reviews?ref_=tt_urv
2001: A Space Odyssey,1968,https://www.imdb.com/title/tt0062622/reviews?ref_=tt_urv
Come and See,1985,https://www.imdb.com/title/tt0091251/reviews?ref_=tt_urv
Reservoir Dogs,1992,https://www.imdb.com/title/tt0105236/reviews?ref_=tt_urv
The Hunt,2012,https://www.imdb.com/title/tt2106476/reviews?ref_=tt_urv
Citizen Kane,1941,https://www.imdb.com/title/tt0033467/reviews?ref_=tt_urv
M,1931,https://www.imdb.com/title/tt0022100/reviews?ref_=tt_urv
Lawrence of Arabia,1962,https://www.imdb.com/title/tt0056172/reviews?ref_=tt_urv
North by Northwest,1959,https://www.imdb.com/title/tt0053125/reviews?ref_=tt_urv
Ikiru,1952,https://www.imdb.com/title/tt0044741/reviews?ref_=tt_urv
Vertigo,1958,https://www.imdb.com/title/tt0052357/reviews?ref_=tt_urv
The Apartment,1960,https://www.imdb.com/title/tt0053604/reviews?ref_=tt_urv
Amélie,2001,https://www.imdb.com/title/tt0211915/reviews?ref_=tt_urv
A Clockwork Orange,1971,https://www.imdb.com/title/tt0066921/reviews?ref_=tt_urv
Double Indemnity,1944,https://www.imdb.com/title/tt0036775/reviews?ref_=tt_urv
Full Metal Jacket,1987,https://www.imdb.com/title/tt0093058/reviews?ref_=tt_urv
Scarface,1983,https://www.imdb.com/title/tt0086250/reviews?ref_=tt_urv
Hamilton,2020,https://www.imdb.com/title/tt8503618/reviews?ref_=tt_urv
Incendies,2010,https://www.imdb.com/title/tt1255953/reviews?ref_=tt_urv
Heat,1995,https://www.imdb.com/title/tt0113277/reviews?ref_=tt_urv
To Kill a Mockingbird,1962,https://www.imdb.com/title/tt0056592/reviews?ref_=tt_urv
Up,2009,https://www.imdb.com/title/tt1049413/reviews?ref_=tt_urv
The Sting,1973,https://www.imdb.com/title/tt0070735/reviews?ref_=tt_urv
A Separation,2011,https://www.imdb.com/title/tt1832382/reviews?ref_=tt_urv
Metropolis,1927,https://www.imdb.com/title/tt0017136/reviews?ref_=tt_urv
Taxi Driver,1976,https://www.imdb.com/title/tt0075314/reviews?ref_=tt_urv
L.A. Confidential,1997,https://www.imdb.com/title/tt0119488/reviews?ref_=tt_urv
Die Hard,1988,https://www.imdb.com/title/tt0095016/reviews?ref_=tt_urv
Snatch,2000,https://www.imdb.com/title/tt0208092/reviews?ref_=tt_urv
Indiana Jones and the Last Crusade,1989,https://www.imdb.com/title/tt0097576/reviews?ref_=tt_urv
Top Gun: Maverick,2022,https://www.imdb.com/title/tt1745960/reviews?ref_=tt_urv
Bicycle Thieves,1948,https://www.imdb.com/title/tt0040522/reviews?ref_=tt_urv
Like Stars on Earth,2007,https://www.imdb.com/title/tt0986264/reviews?ref_=tt_urv
